,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,lnum_compromised,lroot_shell,lsu_attempted,lnum_root,lnum_file_creations,lnum_shells,lnum_access_files,lnum_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,group_classification
10,0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0.94,1,0.0,0.0,0.94,0.12,0.0,15,16,1.0,0.0,0.07,0.12,1.0,0.94,0.0,0.0,neptune,probing
11,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,316,0.0,0,0.0,0.0,1.0,0.0,0.0,148,3,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,smurf,smurf
12,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0,0.0,0.0,1.0,0.0,0.0,158,13,0.08,0.02,0.08,0.0,0.0,0.0,0.0,0.0,smurf,smurf
13,23,tcp,telnet,SF,104,276,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,guess_passwd,u2r
14,0,icmp,ecr_i,SF,1480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,85,1,0.01,0.05,0.01,0.0,0.0,0.0,0.0,0.0,pod,r2l
15,0,icmp,ecr_i,SF,1480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0.0,0.0,1.0,0.0,0.0,86,2,0.02,0.05,0.02,0.0,0.0,0.0,0.0,0.0,pod,r2l
16,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2,0.12,1,0.88,0.0,0.01,0.58,0.0,255,2,0.01,0.36,0.62,0.0,0.07,1.0,0.55,0.0,portsweep,neptune
17,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0.12,0,0.88,1.0,0.01,0.58,0.0,255,1,0.0,0.38,0.66,0.0,0.08,0.0,0.58,1.0,portsweep,neptune
18,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,1.0,1.0,1.0,0.0,0.0,9,1,0.11,1.0,0.11,0.0,0.0,0.0,0.89,1.0,ipsweep,probing
19,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,1.0,1.0,1.0,0.0,0.0,19,1,0.05,1.0,0.05,0.0,0.0,0.0,0.95,1.0,ipsweep,probing
20,0,tcp,finger,S0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1,0.0,0.0,1.0,0.0,0.0,1,8,1.0,0.0,1.0,0.38,1.0,0.12,0.0,0.0,land,r2l
21,26,tcp,ftp,SF,116,451,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ftp_write,u2r
22,134,tcp,login,SF,100,39445,0,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,2,1,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,ftp_write,u2r
23,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0.0,0,0.0,0.5,1.0,0.0,1.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,back,dos
24,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,3,0.0,0,0.0,0.33,1.0,0.0,0.67,2,2,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,back,dos
25,31,tcp,imap4,SF,1345,10036,0,0,0,0,0,1,16,0,0,16,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,imap,u2r
26,0,udp,domain_u,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0,0.0,0.0,0.17,0.67,0.0,150,1,0.01,0.06,0.03,0.0,0.01,0.0,0.0,0.0,satan,dos
27,3,tcp,telnet,SF,54,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.0,0,0.29,0.0,0.14,0.71,0.0,160,29,0.18,0.08,0.01,0.0,0.01,0.03,0.01,0.0,satan,u2r
28,0,tcp,http,SF,51,8127,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0.0,0,0.0,0.5,1.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phf,u2r
29,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,4,2,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0,nmap,probing
30,0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.0,1,0.0,0.0,0.5,1.0,0.0,14,1,0.07,0.71,0.5,0.0,0.5,1.0,0.0,0.0,nmap,probing
31,1,tcp,ftp_data,SF,0,988002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0,0.0,0.0,1.0,0.0,1.0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,multihop,u2r
32,0,tcp,ftp,SF,36,197,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.05,0.0,0.0,0.39,0.0,0.05,0.0,warezmaster,u2r
33,198,tcp,telnet,SF,562,9139,0,0,0,3,0,1,22,1,0,39,4,2,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,multihop,u2r
34,156,tcp,ftp,SF,950,2551,0,0,0,18,0,1,0,0,0,0,21,0,0,0,0,1,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,218,1,0.0,0.03,0.0,0.0,0.01,0.0,0.07,0.0,warezmaster,r2l
35,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,10,35,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,warezclient,r2l
36,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0.0,0.0,1.0,0.0,0.0,11,36,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,warezclient,r2l
37,337,tcp,telnet,SF,237,1540,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,255,47,0.18,0.02,0.0,0.0,0.22,0.32,0.0,0.0,spy,u2r
38,299,tcp,telnet,SF,112,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,255,48,0.19,0.02,0.0,0.0,0.22,0.31,0.0,0.0,spy,u2r
39,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,10,35,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,warezclient,r2l
40,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0.0,0.0,1.0,0.0,0.0,11,36,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,warezclient,r2l
41,337,tcp,telnet,SF,237,1540,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,255,47,0.18,0.02,0.0,0.0,0.22,0.32,0.0,0.0,spy,u2r
42,299,tcp,telnet,SF,112,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,255,48,0.19,0.02,0.0,0.0,0.22,0.31,0.0,0.0,spy,u2r
43,0,tcp,http,SF,181,5450,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0,0.0,0.0,1.0,0.0,0.0,9,9,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,normal,u2r
44,0,tcp,http,SF,239,486,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0,0.0,0.0,1.0,0.0,0.0,19,19,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,normal,u2r
